ID_IGR,DATE,HABITAT,GENUS,TOTBIO
1,11/6/2013,Pool,Ostracod,22.8811
1,11/6/2013,Pool,Ostracod,0
1,11/6/2013,Pool,Ostracod,46.3676
1,11/6/2013,Pool,Ostracod,7.5231
1,11/6/2013,Riff,Ostracod,0
1,11/6/2013,Riff,Ostracod,0
1,11/6/2013,Riff,Ostracod,0.599
1,11/6/2013,Riff,Ostracod,0
1,11/6/2013,Wood,Ostracod,0
1,11/6/2013,Wood,Ostracod,0
1,11/6/2013,Wood,Ostracod,0
1,11/6/2013,Wood,Ostracod,0
1,6/30/2013,Pool,Ostracod,1.198
1,6/30/2013,Pool,Ostracod,14.4474
1,6/30/2013,Pool,Ostracod,20.2755
1,6/30/2013,Pool,Ostracod,25.7382
1,6/30/2013,Riff,Ostracod,0
1,6/30/2013,Riff,Ostracod,0
1,6/30/2013,Riff,Ostracod,1.7969
1,6/30/2013,Riff,Ostracod,1.198
1,6/30/2013,Wood,Ostracod,0
1,6/30/2013,Wood,Ostracod,0
1,6/30/2013,Wood,Ostracod,0
1,6/30/2013,Wood,Ostracod,0
1,7/27/2013,Pool,Ostracod,32.2855
1,7/27/2013,Pool,Ostracod,23.8395
1,7/27/2013,Pool,Ostracod,28.6014
1,7/27/2013,Pool,Ostracod,0
1,7/27/2013,Riff,Ostracod,11.4525
1,7/27/2013,Riff,Ostracod,50.155
1,7/27/2013,Riff,Ostracod,3.5639
1,7/27/2013,Riff,Ostracod,0
1,7/27/2013,Wood,Ostracod,0
1,7/27/2013,Wood,Ostracod,0
1,7/27/2013,Wood,Ostracod,0
1,7/27/2013,Wood,Ostracod,1.2878
1,11/6/2013,Pool,Sphaeriidae,90.5379
1,11/6/2013,Pool,Sphaeriidae,7.2599
1,11/6/2013,Pool,Sphaeriidae,482.27
1,11/6/2013,Pool,Sphaeriidae,69.2703
1,11/6/2013,Riff,Sphaeriidae,0
1,11/6/2013,Riff,Sphaeriidae,1.815
1,11/6/2013,Riff,Sphaeriidae,1.815
1,11/6/2013,Riff,Sphaeriidae,0
1,11/6/2013,Wood,Sphaeriidae,0
1,11/6/2013,Wood,Sphaeriidae,0
1,11/6/2013,Wood,Sphaeriidae,0
1,11/6/2013,Wood,Sphaeriidae,0
1,6/30/2013,Pool,Sphaeriidae,4.2819
1,6/30/2013,Pool,Sphaeriidae,11.1251
1,6/30/2013,Pool,Sphaeriidae,344.2539
1,6/30/2013,Pool,Sphaeriidae,95.9516
1,6/30/2013,Riff,Sphaeriidae,0
1,6/30/2013,Riff,Sphaeriidae,0
1,6/30/2013,Riff,Sphaeriidae,7.2599
1,6/30/2013,Riff,Sphaeriidae,2.5917
1,6/30/2013,Wood,Sphaeriidae,0
1,6/30/2013,Wood,Sphaeriidae,0
1,6/30/2013,Wood,Sphaeriidae,0.1467
1,6/30/2013,Wood,Sphaeriidae,0
1,7/27/2013,Pool,Sphaeriidae,279.6465
1,7/27/2013,Pool,Sphaeriidae,16.244
1,7/27/2013,Pool,Sphaeriidae,41.3804
1,7/27/2013,Pool,Sphaeriidae,18.9767
1,7/27/2013,Riff,Sphaeriidae,3.6299
1,7/27/2013,Riff,Sphaeriidae,1.815
1,7/27/2013,Riff,Sphaeriidae,1.815
1,7/27/2013,Riff,Sphaeriidae,5.4449
1,7/27/2013,Wood,Sphaeriidae,0
1,7/27/2013,Wood,Sphaeriidae,0
1,7/27/2013,Wood,Sphaeriidae,0
1,7/27/2013,Wood,Sphaeriidae,0
1,11/6/2013,Pool,Oligochaeta,0.254
1,11/6/2013,Pool,Oligochaeta,9.1297
1,11/6/2013,Pool,Oligochaeta,11.7352
1,11/6/2013,Pool,Oligochaeta,28.1169
1,11/6/2013,Riff,Oligochaeta,0
1,11/6/2013,Riff,Oligochaeta,0.1543
1,11/6/2013,Riff,Oligochaeta,0.1543
1,11/6/2013,Riff,Oligochaeta,0.3087
1,11/6/2013,Wood,Oligochaeta,0
1,11/6/2013,Wood,Oligochaeta,0.9563
1,11/6/2013,Wood,Oligochaeta,0
1,11/6/2013,Wood,Oligochaeta,0
1,6/30/2013,Pool,Oligochaeta,7.0475
1,6/30/2013,Pool,Oligochaeta,2.0763
1,6/30/2013,Pool,Oligochaeta,541.6108
1,6/30/2013,Pool,Oligochaeta,648.2494
1,6/30/2013,Riff,Oligochaeta,8.8717
1,6/30/2013,Riff,Oligochaeta,9.2431
1,6/30/2013,Riff,Oligochaeta,48.0353
1,6/30/2013,Riff,Oligochaeta,180.4626
1,6/30/2013,Wood,Oligochaeta,0
1,6/30/2013,Wood,Oligochaeta,7.1908
1,6/30/2013,Wood,Oligochaeta,0.4139
1,6/30/2013,Wood,Oligochaeta,0
1,7/27/2013,Pool,Oligochaeta,34.3258
1,7/27/2013,Pool,Oligochaeta,120.9864
1,7/27/2013,Pool,Oligochaeta,98.6261
1,7/27/2013,Pool,Oligochaeta,113.8887
1,7/27/2013,Riff,Oligochaeta,98.8569
1,7/27/2013,Riff,Oligochaeta,72.3026
1,7/27/2013,Riff,Oligochaeta,3.0723
1,7/27/2013,Riff,Oligochaeta,9.3948
1,7/27/2013,Wood,Oligochaeta,0.1852
1,7/27/2013,Wood,Oligochaeta,0
1,7/27/2013,Wood,Oligochaeta,0
1,7/27/2013,Wood,Oligochaeta,2.0113
